;kopt;tminRep
1;0.3822054;9.852111
2;0.3203888;9.705992
3;0.3413186;9.70583
4;0.3895146;9.867298
5;0.3891053;9.849959
6;0.3512883;9.64595
7;0.3984641;9.810873
8;0.4036084;9.913449
9;0.3812544;9.980863
10;0.3744921;9.673161
11;0.3830307;9.914006
12;0.3064116;9.269165
13;0.3134465;9.023897
14;0.3804037;9.737042
15;0.3908138;9.864315
16;0.3856999;9.87387
17;0.3939992;9.725379
18;0.3849124;9.807128
19;0.3811245;9.973718
20;0.3061891;9.22775
21;0.3997951;10.035846
22;0.3951382;9.707122
23;0.3632256;9.541225
24;0.3870881;9.757463
25;0.3798557;9.936216
26;0.3760093;9.637438
27;0.3869377;9.749626
28;0.3876112;9.77761
29;0.3941671;9.865443
30;0.3876323;9.418307
31;0.3769419;9.733506
32;0.3118605;9.196853
33;0.3537756;9.436366
34;0.3909947;9.897534
35;0.4030346;9.907345
36;0.3771708;9.912795
37;0.3446867;9.400216
38;0.3924818;9.84267
39;0.3878845;9.763958
40;0.389824;9.810386
41;0.3632941;9.57862
42;0.3854498;9.704648
43;0.3885042;9.939888
44;0.3688095;9.664994
45;0.3025187;9.109864
46;0.3741666;9.816833
47;0.3878983;9.868923
48;0.3873165;9.759528
49;0.3710944;9.825622
50;0.3765284;9.921009
51;0.3849659;9.72457
52;0.3229572;9.570443
53;0.322685;9.544194
54;0.4090402;9.994024
55;0.3703363;9.810922
56;0.3098664;9.139069
57;0.3926526;9.829925
58;0.2916273;9.069532
59;0.3594419;9.660058
60;0.3825587;9.727588
61;0.3922448;9.854012
62;0.3827403;9.928259
63;0.3950734;9.843294
64;0.3843399;9.764938
65;0.3977531;9.848829
66;0.3738873;9.828985
67;0.3938649;10.144916
68;0.3838814;9.784486
69;0.3189449;9.195927
70;0.3847041;9.939937
71;0.3906111;9.715924
72;0.3843665;9.811516
73;0.3790172;9.956221
74;0.3767903;9.77528
75;0.3979926;9.881282
76;0.3851906;9.788031
77;0.3824257;9.834455
78;0.3918669;9.883139
79;0.3764459;9.710744
80;0.3982532;9.991898
81;0.398142;9.993375
82;0.3715293;9.666508
83;0.3890961;9.861259
84;0.3585466;9.760335
85;0.3664653;9.665863
86;0.3818725;9.847138
87;0.3811666;9.905809
88;0.385209;9.838985
89;0.3831506;9.700541
90;0.3876717;9.79203
91;0.3860965;9.607356
92;0.3861299;9.790385
93;0.3830039;9.6751
94;0.385112;9.889
95;0.3775004;9.796806
96;0.3793964;9.819253
97;0.3849045;9.827802
98;0.329154;9.281326
99;0.3815239;9.887868
100;0.3900707;9.846984