name;longitude;latitude;surface;pDam;firstDamHeight;winterTemperature;springTemperature;summerTemperature;fallTemperature;x1R;y1R;x2R;y2R;x3R;y3R;x4R;y4R;x1S;y1S;x2S;y2S;x3S;y3S;x4S;y4S;x1O;y1O;x2O;y2O;x3O;y3O;x4O;y4O
BV1;-1;59;80351;0.8171471;21;5.966666667;8.466666667;13.76666667;2.333333333;-1;59.5;-1;58.5;-0.774672226;58.5;-0.774672226;59.5;-1.25;59.5;-1.25;58.5;-2.25;58.5;-2.25;59.5;-2.75;59.5;-2.75;58.5;-3.75;58.5;-3.75;59.5
BV2;-1;58;80351;0.824171631;16;6.366666667;8.866666667;14.16666667;2.733333333;-1;58.5;-1;57.5;4.273763456;57.5;4.273763456;58.5;-1.25;58.5;-1.25;57.5;-2.25;57.5;-2.25;58.5;-2.75;58.5;-2.75;57.5;-3.75;57.5;-3.75;58.5
BV3;-1;57;80351;0.837377552;27;6.766666667;9.266666667;14.56666667;3.133333333;-1;57.5;-1;56.5;-0.908146595;56.5;-0.908146595;57.5;-1.25;57.5;-1.25;56.5;-2.25;56.5;-2.25;57.5;-2.75;57.5;-2.75;56.5;-3.75;56.5;-3.75;57.5
BV4;-1;56;80351;0.86783708;30;7.166666667;9.666666667;14.96666667;3.533333333;-1;56.5;-1;55.5;-0.939998464;55.5;-0.939998464;56.5;-1.25;56.5;-1.25;55.5;-2.25;55.5;-2.25;56.5;-2.75;56.5;-2.75;55.5;-3.75;55.5;-3.75;56.5
BV5;-1;55;80351;1;NaN;7.566666667;10.06666667;15.36666667;3.933333333;-1;55.5;-1;54.5;-0.881370071;54.5;-0.881370071;55.5;-1.25;55.5;-1.25;54.5;-2.25;54.5;-2.25;55.5;-2.75;55.5;-2.75;54.5;-3.75;54.5;-3.75;55.5
BV6;-1;54;80351;1;NaN;7.966666667;10.46666667;15.76666667;4.333333333;-1;54.5;-1;53.5;-0.937102977;53.5;-0.937102977;54.5;-1.25;54.5;-1.25;53.5;-2.25;53.5;-2.25;54.5;-2.75;54.5;-2.75;53.5;-3.75;53.5;-3.75;54.5
BV7;-1;53;80351;0.828040341;17;8.366666667;10.86666667;16.16666667;4.733333333;-1;53.5;-1;52.5;-0.717977375;52.5;-0.717977375;53.5;-1.25;53.5;-1.25;52.5;-2.25;52.5;-2.25;53.5;-2.75;53.5;-2.75;52.5;-3.75;52.5;-3.75;53.5
BV8;-1;52;80351;0.812909072;25;8.766666667;11.26666667;16.56666667;5.133333333;-1;52.5;-1;51.5;-0.87930576;51.5;-0.87930576;52.5;-1.25;52.5;-1.25;51.5;-2.25;51.5;-2.25;52.5;-2.75;52.5;-2.75;51.5;-3.75;51.5;-3.75;52.5
BV9;-1;51;80351;0.831098911;27;9.166666667;11.66666667;16.96666667;5.533333333;-1;51.5;-1;50.5;-0.280361285;50.5;-0.280361285;51.5;-1.25;51.5;-1.25;50.5;-2.25;50.5;-2.25;51.5;-2.75;51.5;-2.75;50.5;-3.75;50.5;-3.75;51.5
BV10;-1;50;80351;0.7907389;30;9.433333333;12.06666667;17.5;6.4;-1;50.5;-1;49.5;-0.967198581;49.5;-0.967198581;50.5;-1.25;50.5;-1.25;49.5;-2.25;49.5;-2.25;50.5;-2.75;50.5;-2.75;49.5;-3.75;49.5;-3.75;50.5
BV11;-1;49;80351;0.873917631;25;8.566666667;12.5;17.86666667;6.1;-1;49.5;-1;48.5;-0.948558005;48.5;-0.948558005;49.5;-1.25;49.5;-1.25;48.5;-2.25;48.5;-2.25;49.5;-2.75;49.5;-2.75;48.5;-3.75;48.5;-3.75;49.5
BV12;-1;48;80351;1;NaN;8.833333333;13.56666667;18.83333333;6.866666667;-1;48.5;-1;47.5;-0.874481653;47.5;-0.874481653;48.5;-1.25;48.5;-1.25;47.5;-2.25;47.5;-2.25;48.5;-2.75;48.5;-2.75;47.5;-3.75;47.5;-3.75;48.5
BV13;-1;47;80351;0.724917971;27;9.7;14.3;19.66666667;7.766666667;-1;47.5;-1;46.5;1.672937228;46.5;1.672937228;47.5;-1.25;47.5;-1.25;46.5;-2.25;46.5;-2.25;47.5;-2.75;47.5;-2.75;46.5;-3.75;46.5;-3.75;47.5
BV14;-1;46;80351;0.741675841;18;10.3;14.93333333;20.43333333;8.466666667;-1;46.5;-1;45.5;-0.91926889;45.5;-0.91926889;46.5;-1.25;46.5;-1.25;45.5;-2.25;45.5;-2.25;46.5;-2.75;46.5;-2.75;45.5;-3.75;45.5;-3.75;46.5
BV15;-1;45;80351;0.849634287;18;10.8;15.3;20.93333333;9.066666667;-1;45.5;-1;44.5;0.045422258;44.5;0.045422258;45.5;-1.25;45.5;-1.25;44.5;-2.25;44.5;-2.25;45.5;-2.75;45.5;-2.75;44.5;-3.75;44.5;-3.75;45.5
BV16;-1;44;80351;0.748606274;20;9.866666667;13.9;21.3;7.166666667;-1;44.5;-1;43.5;-0.779719161;43.5;-0.779719161;44.5;-1.25;44.5;-1.25;43.5;-2.25;43.5;-2.25;44.5;-2.75;44.5;-2.75;43.5;-3.75;43.5;-3.75;44.5
BV17;-1;43;80351;0.843280351;22;8.733333333;13.86666667;22.33333333;5.833333333;-1;43.5;-1;42.5;-0.882163621;42.5;-0.882163621;43.5;-1.25;43.5;-1.25;42.5;-2.25;42.5;-2.25;43.5;-2.75;43.5;-2.75;42.5;-3.75;42.5;-3.75;43.5
BV18;-1;42;80351;1;NaN;12.3;16.8;22.43333333;10.56666667;-1;42.5;-1;41.5;-0.941363354;41.5;-0.941363354;42.5;-1.25;42.5;-1.25;41.5;-2.25;41.5;-2.25;42.5;-2.75;42.5;-2.75;41.5;-3.75;41.5;-3.75;42.5
BV19;-1;41;80351;0.901652746;16;12.8;17.3;22.93333333;11.06666667;-1;41.5;-1;40.5;-0.99521361;40.5;-0.99521361;41.5;-1.25;41.5;-1.25;40.5;-2.25;40.5;-2.25;41.5;-2.75;41.5;-2.75;40.5;-3.75;40.5;-3.75;41.5
BV20;-1;40;80351;0.910050033;25;13.3;17.8;23.43333333;11.56666667;-1;40.5;-1;39.5;-0.67398325;39.5;-0.67398325;40.5;-1.25;40.5;-1.25;39.5;-2.25;39.5;-2.25;40.5;-2.75;40.5;-2.75;39.5;-3.75;39.5;-3.75;40.5
BV21;-1;39;80351;1;NaN;13.8;18.3;23.93333333;12.06666667;-1;39.5;-1;38.5;-0.464024283;38.5;-0.464024283;39.5;-1.25;39.5;-1.25;38.5;-2.25;38.5;-2.25;39.5;-2.75;39.5;-2.75;38.5;-3.75;38.5;-3.75;39.5
BV22;-1;38;80351;1;NaN;14.3;18.8;24.43333333;12.56666667;-1;38.5;-1;37.5;-0.880298767;37.5;-0.880298767;38.5;-1.25;38.5;-1.25;37.5;-2.25;37.5;-2.25;38.5;-2.75;38.5;-2.75;37.5;-3.75;37.5;-3.75;38.5
BV23;-1;37;80351;0.77438752;25;14.8;19.3;24.93333333;13.06666667;-1;37.5;-1;36.5;-0.504060609;36.5;-0.504060609;37.5;-1.25;37.5;-1.25;36.5;-2.25;36.5;-2.25;37.5;-2.75;37.5;-2.75;36.5;-3.75;36.5;-3.75;37.5
BV24;-1;36;80351;0.801607516;23;15.3;19.8;25.43333333;13.56666667;-1;36.5;-1;35.5;-0.340177735;35.5;-0.340177735;36.5;-1.25;36.5;-1.25;35.5;-2.25;35.5;-2.25;36.5;-2.75;36.5;-2.75;35.5;-3.75;35.5;-3.75;36.5
BV25;-1;35;80351;0.860728979;18;15.8;20.3;25.93333333;14.06666667;-1;35.5;-1;34.5;-0.939010139;34.5;-0.939010139;35.5;-1.25;35.5;-1.25;34.5;-2.25;34.5;-2.25;35.5;-2.75;35.5;-2.75;34.5;-3.75;34.5;-3.75;35.5
